李小龙	893	435	382	686	0.56	0.77	0.88
中国西部刑侦大案纪实	1195	435	382	1053	0.36	0.88	0.88
结婚为什么	532	434	434	527	0.82	0.99	1.00
请回答1988	899	434	430	792	0.54	0.88	0.99
苗阜王声相声大全	828	433	341	663	0.51	0.80	0.79
战地1	887	432	369	793	0.47	0.89	0.85
代号	733	431	431	729	0.59	0.99	1.00
玩命剧组	2012	431	420	1966	0.21	0.98	0.97
嫁个老公过日子	608	428	428	606	0.71	1.00	1.00
蒙面唱将	1248	428	395	989	0.40	0.79	0.92
wwe美国职业摔角	1078	426	373	902	0.41	0.84	0.88
直击珠海航展	947	426	390	882	0.44	0.93	0.92
东北二人转	1696	425	259	908	0.29	0.54	0.61
七夜追魂	2552	425	425	2507	0.17	0.98	1.00
千金女贼	710	424	424	651	0.65	0.92	1.00
中国式闹婚惹热议	870	424	421	838	0.50	0.96	0.99
警花与警犬	700	422	422	658	0.64	0.94	1.00
珠海航展歼20飞行视频	654	422	393	609	0.65	0.93	0.93
歼20 珠海	619	421	385	583	0.66	0.94	0.91
社会摇	1090	421	314	649	0.48	0.60	0.75
今晚80后脱口秀	1003	419	417	991	0.42	0.99	1.00
非常完美	1262	418	391	1068	0.37	0.85	0.94
张雪峰	905	418	364	667	0.55	0.74	0.87
真正男子汉第一期	1264	418	417	1258	0.33	1.00	1.00
左眼诡事	887	418	418	877	0.48	0.99	1.00
excel教程	787	417	391	752	0.52	0.96	0.94
半妖倾城	748	417	417	742	0.56	0.99	1.00
神雕侠侣	933	417	417	925	0.45	0.99	1.00
唐唐big笑工坊	822	417	408	797	0.51	0.97	0.98
动画片大全电影	810	416	245	367	0.67	0.45	0.59
韩国女主播热舞引诱	1445	416	173	621	0.28	0.43	0.42
陈翔六点半	977	415	396	888	0.45	0.91	0.95
女怕嫁错郎	680	415	415	678	0.61	1.00	1.00
中国新歌声	1939	415	367	1545	0.24	0.80	0.88
床戏	947	414	246	501	0.49	0.53	0.59
父母爱情	621	414	414	613	0.68	0.99	1.00
小品	1350	414	253	848	0.30	0.63	0.61
告白气球	978	412	300	696	0.43	0.71	0.73
欧布奥特曼	776	411	398	710	0.56	0.91	0.97
完美告白2016最新一期	1471	410	400	1291	0.31	0.88	0.98
画江湖之不良人第二季	1209	408	407	1199	0.34	0.99	1.00
冲击压路机	65	406	18	18	1.00	0.28	0.04
封神榜	1140	406	399	1072	0.37	0.94	0.98
和充气娃做的过程	1494	406	367	1233	0.30	0.83	0.90
小戏骨白蛇传	1176	406	325	936	0.35	0.80	0.80
新边城浪子	602	406	406	602	0.67	1.00	1.00
blackpink	1442	405	337	1210	0.28	0.84	0.83
搞笑	1347	405	306	1055	0.29	0.78	0.76
恋恋不忘	530	404	404	528	0.77	1.00	1.00
食神	2620	404	401	2561	0.16	0.98	0.99
王宝强	1917	404	336	1431	0.23	0.75	0.83
古惑仔2(猛龙过江)	1431	403	367	1395	0.26	0.97	0.91
火车	742	403	274	498	0.55	0.67	0.68
叶罗丽精灵梦第四季	1019	402	393	954	0.41	0.94	0.98
g点	1396	401	326	1091	0.30	0.78	0.81
wwe2016最新赛事	1883	401	378	1747	0.22	0.93	0.94
奔跑吧兄弟第四季	1621	401	401	1562	0.26	0.96	1.00
陆贞传奇	560	401	401	557	0.72	0.99	1.00
